Numéro ligne;Stations
1;La Défense (Grande Arche)
1;Esplanade de la Défense
1;Pont de Neuilly
1;Les Sablons
1;Porte Maillot
1;Argentine
1;Charles de Gaulle - Etoile
1;George V
1;Franklin D. Roosevelt
1;Champs-Elysées - Clemenceau
1;Concorde
1;Tuileries
1;Palais Royal - Musée du Louvre
1;Louvre - Rivoli
1;Châtelet
1;Hôtel de Ville
1;Saint-Paul (Le Marais)
1;Bastille
1;Gare de Lyon
1;Reuilly - Diderot
1;Nation
1;Porte de Vincennes
1;Saint-Mandé
1;Bérault
1;Château de Vincennes
2;Porte Dauphine
2;Victor Hugo
2;Charles de Gaulle - Etoile
2;Ternes
2;Courcelles
2;Monceau
2;Villiers
2;Rome
2;Place de Clichy
2;Blanche
2;Pigalle
2;Anvers
2;Barbès - Rochechouart
2;La Chapelle
2;Stalingrad
2;Jaurès
2;Colonel Fabien
2;Belleville
2;Couronnes
2;Ménilmontant
2;Père Lachaise
2;Philippe Auguste
2;Alexandre Dumas
2;Avron
2;Nation
3;Pont de Levallois - Bécon
3;Anatole France
3;Louise Michel
3;Porte de Champerret
3;Pereire
3;Wagram
3;Malesherbes
3;Villiers
3;Europe
3;Saint-Lazare
3;Havre-Caumartin
3;Opéra
3;Quatre Septembre
3;Bourse
3;Sentier
3;Réaumur - Sébastopol
3;Arts et Métiers
3;Temple
3;République
3;Parmentier
3;Rue Saint-Maur
3;Père Lachaise
3;Gambetta
3;Porte de Bagnolet
3;Gallieni
3bis;Porte des Lilas
3bis;Saint-Fargeau
3bis;Pelleport
3bis;Gambetta
4;Porte de Clignancourt
4;Simplon
4;Marcadet - Poissonniers
4;Château Rouge
4;Barbès - Rochechouart
4;Gare du Nord
4;Gare de l'Est
4;Château d'Eau
4;Strasbourg - Saint-Denis
4;Réaumur - Sébastopol
4;Etienne Marcel
4;Les Halles
4;Châtelet
4;Cité
4;Saint-Michel
4;Odéon
4;Saint-Germain-des-Prés
4;Saint-Sulpice
4;Saint-Placide
4;Montparnasse Bienvenue
4;Vavin
4;Raspail
4;Denfert-Rochereau
4;Mouton-Duvernet
4;Alésia
4;Porte d'Orléans
4;Mairie de Montrouge
4;Barbara
4;Bagneux - Lucie Aubrac
5;Bobigny Pablo Picasso
5;Bobigny-Pantin - Raymond Queneau
5;Eglise de Pantin
5;Hoche
5;Porte de Pantin
5;Ourcq
5;Laumière
5;Jaurès
5;Stalingrad
5;Gare du Nord
5;Gare de l'Est
5;Jacques Bonsergent
5;République
5;Oberkampf
5;Richard-Lenoir
5;Bréguet-Sabin
5;Bastille
5;Quai de la Rapée
5;Gare d'Austerlitz
5;Saint-Marcel
5;Campo-Formio
5;Place d'Italie
6;Charles de Gaulle - Etoile
6;Kléber
6;Boissière
6;Trocadéro
6;Passy
6;Bir-Hakeim
6;Dupleix
6;La Motte-Picquet - Grenelle
6;Cambronne
6;Sèvres-Lecourbe
6;Pasteur
6;Montparnasse Bienvenue
6;Edgar Quinet
6;Raspail
6;Denfert-Rochereau
6;Saint-Jacques
6;Glacière
6;Corvisart
6;Place d'Italie
6;Nationale
6;Chevaleret
6;Quai de la Gare
6;Bercy
6;Dugommier
6;Daumesnil
6;Bel-Air
6;Picpus
6;Nation
7;La Courneuve - 8 Mai 1945
7;Fort d'Aubervilliers
7;Aubervilliers-Pantin Quatre Chemins
7;Porte de la Villette
7;Corentin Cariou
7;Crimée
7;Riquet
7;Stalingrad
7;Louis Blanc
7;Château Landon
7;Gare de l'Est
7;Poissonnière
7;Cadet
7;Le Peletier
7;Chaussée d'Antin - La Fayette
7;Opéra
7;Pyramides
7;Palais Royal - Musée du Louvre
7;Pont Neuf
7;Châtelet
7;Pont Marie (Cité des Arts)
7;Sully - Morland
7;Jussieu
7;Place Monge
7;Censier - Daubenton
7;Les Gobelins
7;Place d'Italie
7;Tolbiac
7;Maison Blanche
7;Porte d'Italie
7;Porte de Choisy
7;Porte d'Ivry
7;Pierre et Marie Curie
7;Mairie d'Ivry
7;Maison Blanche
7;Le Kremlin-Bicêtre
7;Villejuif Léo Lagrange
